luxury garden: 
Name: fruitfulTree0, FruitType: Banana 
Name: fruitfulTree1, FruitType: Apple 
Name: fruitfulTree2, FruitType: Orange 
Name: fruitfulTree3, FruitType: Banana 
Name: fruitfulTree4, FruitType: Lemon 
Name: fruitfulTree5, FruitType: Cherry 
Name: fruitfulTree6, FruitType: Orange 
Name: fruitfulTree7, FruitType: Orange 
Name: fruitfulTree8, FruitType: Cherry 
Name: fruitfulTree9, FruitType: Cherry 
Name: fruitfulTree10, FruitType: Cherry 
Name: fruitfulTree11, FruitType: Orange 
Name: fruitfulTree12, FruitType: Banana 
Name: fruitfulTree13, FruitType: Apple 
Name: fruitfulTree14, FruitType: Apple 
Name: fruitfulTree15, FruitType: Apple 
Name: fruitfulTree16, FruitType: Lemon 
Name: fruitfulTree17, FruitType: Banana 
Name: fruitfulTree18, FruitType: Apple 
Name: fruitfulTree19, FruitType: Apple 
Name: fruitfulTree20, FruitType: Apple 
Name: fruitfulTree21, FruitType: Banana 
Name: fruitfulTree22, FruitType: Banana 
Name: fruitfulTree23, FruitType: Orange 
Name: fruitfulTree24, FruitType: Apple 
Name: fruitfulTree25, FruitType: Banana 
Name: fruitfulTree26, FruitType: Orange 
Name: fruitfulTree27, FruitType: Apple 
Name: fruitfulTree28, FruitType: Cherry 
Name: fruitfulTree29, FruitType: Lemon 

Name: Bush0, BerryType: Raspberry 
Name: Bush1, BerryType: Blackberry 
Name: Bush2, BerryType: Raspberry 
Name: Bush3, BerryType: Gooseberry 
Name: Bush4, BerryType: Raspberry 
Name: Bush5, BerryType: Currant 
Name: Bush6, BerryType: Currant 
Name: Bush7, BerryType: Strawberry 
Name: Bush8, BerryType: Currant 
Name: Bush9, BerryType: Raspberry 
Name: Bush10, BerryType: Currant 
Name: Bush11, BerryType: Blackberry 
Name: Bush12, BerryType: Raspberry 
Name: Bush13, BerryType: Raspberry 
Name: Bush14, BerryType: Blackberry 
Name: Bush15, BerryType: Blackberry 
Name: Bush16, BerryType: Gooseberry 
Name: Bush17, BerryType: Blackberry 
Name: Bush18, BerryType: Currant 
Name: Bush19, BerryType: Gooseberry 
Name: Bush20, BerryType: Currant 
Name: Bush21, BerryType: Currant 
Name: Bush22, BerryType: Strawberry 
Name: Bush23, BerryType: Blackberry 
Name: Bush24, BerryType: Gooseberry 
Name: Bush25, BerryType: Raspberry 
Name: Bush26, BerryType: Strawberry 
Name: Bush27, BerryType: Currant 
Name: Bush28, BerryType: Strawberry 
Name: Bush29, BerryType: Currant 
Name: Bush30, BerryType: Blackberry 
Name: Bush31, BerryType: Strawberry 
Name: Bush32, BerryType: Currant 
Name: Bush33, BerryType: Currant 
Name: Bush34, BerryType: Gooseberry 
Name: Bush35, BerryType: Strawberry 
Name: Bush36, BerryType: Currant 
Name: Bush37, BerryType: Strawberry 
Name: Bush38, BerryType: Strawberry 
Name: Bush39, BerryType: Currant 
Name: Bush40, BerryType: Gooseberry 
Name: Bush41, BerryType: Blackberry 
Name: Bush42, BerryType: Raspberry 
Name: Bush43, BerryType: Raspberry 
Name: Bush44, BerryType: Blackberry 
Name: Bush45, BerryType: Currant 
Name: Bush46, BerryType: Blackberry 
Name: Bush47, BerryType: Raspberry 
Name: Bush48, BerryType: Gooseberry 
Name: Bush49, BerryType: Strawberry 

Name: Flower0, FlowerType: Snowdrop 
Name: Flower1, FlowerType: Rose 
Name: Flower2, FlowerType: Tulip 
Name: Flower3, FlowerType: Chamomile 
Name: Flower4, FlowerType: Tulip 
Name: Flower5, FlowerType: Rose 
Name: Flower6, FlowerType: Tulip 
Name: Flower7, FlowerType: Tulip 
Name: Flower8, FlowerType: Rose 
Name: Flower9, FlowerType: Chrysanthemum 
Name: Flower10, FlowerType: Chrysanthemum 
Name: Flower11, FlowerType: Chamomile 
Name: Flower12, FlowerType: Rose 
Name: Flower13, FlowerType: Chrysanthemum 
Name: Flower14, FlowerType: Chamomile 
Name: Flower15, FlowerType: Tulip 
Name: Flower16, FlowerType: Rose 
Name: Flower17, FlowerType: Chamomile 
Name: Flower18, FlowerType: Chrysanthemum 
Name: Flower19, FlowerType: Chamomile 
Name: Flower20, FlowerType: Tulip 
Name: Flower21, FlowerType: Chamomile 
Name: Flower22, FlowerType: Tulip 
Name: Flower23, FlowerType: Chamomile 
Name: Flower24, FlowerType: Rose 
Name: Flower25, FlowerType: Rose 
Name: Flower26, FlowerType: Snowdrop 
Name: Flower27, FlowerType: Chrysanthemum 
Name: Flower28, FlowerType: Rose 
Name: Flower29, FlowerType: Chamomile 
Name: Flower30, FlowerType: Snowdrop 
Name: Flower31, FlowerType: Chrysanthemum 
Name: Flower32, FlowerType: Snowdrop 
Name: Flower33, FlowerType: Tulip 
Name: Flower34, FlowerType: Chrysanthemum 
Name: Flower35, FlowerType: Chamomile 
Name: Flower36, FlowerType: Chamomile 
Name: Flower37, FlowerType: Tulip 
Name: Flower38, FlowerType: Tulip 
Name: Flower39, FlowerType: Rose 
Name: Flower40, FlowerType: Rose 
Name: Flower41, FlowerType: Rose 
Name: Flower42, FlowerType: Snowdrop 
Name: Flower43, FlowerType: Chamomile 
Name: Flower44, FlowerType: Rose 
Name: Flower45, FlowerType: Snowdrop 
Name: Flower46, FlowerType: Rose 
Name: Flower47, FlowerType: Chamomile 
Name: Flower48, FlowerType: Chrysanthemum 
Name: Flower49, FlowerType: Tulip 
Name: Flower50, FlowerType: Chamomile 
Name: Flower51, FlowerType: Rose 
Name: Flower52, FlowerType: Snowdrop 
Name: Flower53, FlowerType: Chamomile 
Name: Flower54, FlowerType: Chrysanthemum 
Name: Flower55, FlowerType: Chamomile 
Name: Flower56, FlowerType: Snowdrop 
Name: Flower57, FlowerType: Snowdrop 
Name: Flower58, FlowerType: Tulip 
Name: Flower59, FlowerType: Chrysanthemum 
Name: Flower60, FlowerType: Rose 
Name: Flower61, FlowerType: Snowdrop 
Name: Flower62, FlowerType: Chamomile 
Name: Flower63, FlowerType: Tulip 
Name: Flower64, FlowerType: Snowdrop 
Name: Flower65, FlowerType: Rose 
Name: Flower66, FlowerType: Chamomile 
Name: Flower67, FlowerType: Chrysanthemum 
Name: Flower68, FlowerType: Rose 
Name: Flower69, FlowerType: Chrysanthemum 
Name: Flower70, FlowerType: Snowdrop 
Name: Flower71, FlowerType: Chamomile 
Name: Flower72, FlowerType: Snowdrop 
Name: Flower73, FlowerType: Chamomile 
Name: Flower74, FlowerType: Chamomile 
Name: Flower75, FlowerType: Snowdrop 
Name: Flower76, FlowerType: Tulip 
Name: Flower77, FlowerType: Rose 
Name: Flower78, FlowerType: Snowdrop 
Name: Flower79, FlowerType: Rose 
Name: Flower80, FlowerType: Chrysanthemum 
Name: Flower81, FlowerType: Chamomile 
Name: Flower82, FlowerType: Rose 
Name: Flower83, FlowerType: Chrysanthemum 
Name: Flower84, FlowerType: Chrysanthemum 
Name: Flower85, FlowerType: Chrysanthemum 
Name: Flower86, FlowerType: Chamomile 
Name: Flower87, FlowerType: Rose 
Name: Flower88, FlowerType: Rose 
Name: Flower89, FlowerType: Chrysanthemum 
Name: Flower90, FlowerType: Tulip 
Name: Flower91, FlowerType: Chrysanthemum 
Name: Flower92, FlowerType: Chrysanthemum 
Name: Flower93, FlowerType: Snowdrop 
Name: Flower94, FlowerType: Rose 
Name: Flower95, FlowerType: Tulip 
Name: Flower96, FlowerType: Rose 
Name: Flower97, FlowerType: Rose 
Name: Flower98, FlowerType: Snowdrop 
Name: Flower99, FlowerType: Tulip 
Name: Flower100, FlowerType: Chrysanthemum 
Name: Flower101, FlowerType: Snowdrop 
Name: Flower102, FlowerType: Rose 
Name: Flower103, FlowerType: Chamomile 
Name: Flower104, FlowerType: Tulip 
Name: Flower105, FlowerType: Chrysanthemum 
Name: Flower106, FlowerType: Rose 
Name: Flower107, FlowerType: Chrysanthemum 
Name: Flower108, FlowerType: Rose 
Name: Flower109, FlowerType: Rose 
Name: Flower110, FlowerType: Tulip 
Name: Flower111, FlowerType: Chamomile 
Name: Flower112, FlowerType: Rose 
Name: Flower113, FlowerType: Rose 
Name: Flower114, FlowerType: Chamomile 
Name: Flower115, FlowerType: Tulip 
Name: Flower116, FlowerType: Tulip 
Name: Flower117, FlowerType: Chrysanthemum 
Name: Flower118, FlowerType: Chrysanthemum 
Name: Flower119, FlowerType: Tulip 
Name: Flower120, FlowerType: Rose 
Name: Flower121, FlowerType: Tulip 
Name: Flower122, FlowerType: Snowdrop 
Name: Flower123, FlowerType: Tulip 
Name: Flower124, FlowerType: Chamomile 
Name: Flower125, FlowerType: Rose 
Name: Flower126, FlowerType: Chrysanthemum 
Name: Flower127, FlowerType: Snowdrop 
Name: Flower128, FlowerType: Chamomile 
Name: Flower129, FlowerType: Chrysanthemum 
Name: Flower130, FlowerType: Rose 
Name: Flower131, FlowerType: Snowdrop 
Name: Flower132, FlowerType: Chamomile 
Name: Flower133, FlowerType: Rose 
Name: Flower134, FlowerType: Chamomile 
Name: Flower135, FlowerType: Snowdrop 
Name: Flower136, FlowerType: Tulip 
Name: Flower137, FlowerType: Chamomile 
Name: Flower138, FlowerType: Tulip 
Name: Flower139, FlowerType: Rose 
Name: Flower140, FlowerType: Chamomile 
Name: Flower141, FlowerType: Tulip 
Name: Flower142, FlowerType: Chrysanthemum 
Name: Flower143, FlowerType: Tulip 
Name: Flower144, FlowerType: Chamomile 
Name: Flower145, FlowerType: Tulip 
Name: Flower146, FlowerType: Tulip 
